,taster_twitter_handle,taster_name
0,@kerinokeefe,Kerin O’Keefe
1,@vossroger,Roger Voss
2,@paulgwine ,Paul Gregutt
3,,Alexander Peartree
4,@wineschach,Michael Schachner
5,,Anna Lee C. Iijima
6,@vboone,Virginie Boone
7,@mattkettmann,Matt Kettmann
8,,
9,@wawinereport,Sean P. Sullivan
10,@gordone_cellars,Jim Gordon
11,@JoeCz,Joe Czerwinski
12,@AnneInVino,Anne Krebiehl MW
13,@laurbuzz,Lauren Buzzeo
14,@worldwineguys,Mike DeSimone
15,@worldwineguys,Jeff Jenssen
16,@suskostrzewa,Susan Kostrzewa
17,,Carrie Dykes
18,@bkfiona,Fiona Adams
19,@winewchristina,Christina Pickard
